text	arg	arg.type	arg.num	neg	pers.num	verb.category
RT @child_in_cry: @tinvafla  Я не умею в сигны https://t.co/FUW839Fojz	сигна	object	pl	1	1sg	can.into
@princeofkeksiki ну во время секса не так обидно, я не умею в перфомансы, скучно выходит	перформанс	object	pl	1	1sg	can.into
Однако ни разу еще не учитывался тот факт, что я жуткий интроверт и не умею в общение с людьми	общение	action	sg	1	1sg	can.into
Ужасно захотелось нарисовать чернокожую девчушку, но черт, я не умею в такие оттенки кожи, лол	оттенки	object	pl	1	1sg	can.into
@Kristerstein когда ты слоупок и только увидел. Я совершенно не умею в такие вещи, и ещё меньше в описания, но попробую?	вещи	object	pl	1	1sg	can.into
@sent_vinsent АХАХАХАХАХАХАХА конечно 🌚 я не умею в бессюжетный прон по ганнигрэму) т.е. умею, но не в фф :D хотя... а впрочем, не надо)	прон	object	sg	1	1sg	can.into
Я не умею в отношения. Зато друг хороший, че.	отношение	object	pl	1	1sg	can.into
@Blue_shrimp нифига я не умею в поздравления, на самом деле. не умею я выразить своё отношение в полной мере. но правда люблю тебя &lt;3	поздравление	object	pl	1	1sg	can.into
потом в дидже перерисую не умею в традиш	традиш	object	sg	1	1sg	can.into
Меня зовут  Мокона и я не умею в оригинальность. https://t.co/MDtevSTLB3	оригинальность	object	sg	1	1sg	can.into
не умею в построение композиции, по этому буду просто перетаскивать и вращать пока не станет KPACUBO https://t.co/wpvEr4KjLm	построение	action	sg	1	1sg	can.into
@Nikirari я в принципе не очень умею в животных	животные	object	pl	1	1sg	can.into
очень грустно кстати что я не понимаю что мне делать как вести с нашей собакой  не умею в собак	собака	object	pl	1	1sg	can.into
@Wolfs_Tail а я умею в пафос, когда реп пытаюсь читать, но ет эпично выглядит XD	пафос	object	sg	0	1sg	can.into
Все еще не умею в аниме https://t.co/DdcZkbeaZq	аниме	object	sg	1	1sg	can.into
Всё ещё не умею в красоту, ну и ладно	красота	object	sg	1	1sg	can.into
@frstmk блин щит я не умею в макси(	макси	object	sg	1	1sg	can.into
блять всё не знаю не умею в конфликты и мне физически плохо стало пойду фильм досматривать	конфликт	object	pl	1	1sg	can.into
Я не могу, я не умею в профиль, я КЛЯЛАСЬ СЕБЕ не сдавать профиль. Я никогда ему не училась!	профиль	object	sg	1	1sg	can.into
Горячо Жаль, я не умею в НЦу https://t.co/BcHGqigyeZ	нц	object	sg	1	1sg	can.into
Мне 16,я нежна и молода,уже умею красить брови,но еще не умею в пафосное лайк э бич ебало. https://t.co/tssOfMSkSL	ебало	object	sg	1	1sg	can.into
@LoonyDragon но я их правда не ношу! Мне в своё время их родители купили, а я просто не умею в красивое ношение вещей, вот и не трогаю	ношение	action	sg	1	1sg	can.into
у меня никогда не будет второй половинки потому что я не умею в эти ваши отношения	отношение	object	pl	1	1sg	can.into
вы все охуели просто господи я же не умею в подарки я что вам всем натурой расплачиваться буду!!!	подарок	object	pl	1	1sg	can.into
RT @luuucky_clover: [ david bowie - life on mars? ]  не умею в эстетики, но я пытался https://t.co/ckXCjEqRFT	эстетика	object	pl	1	1sg	can.into
я не умею в фем и в гет как я собрался выживать	фем	object	sg	1	1sg	can.into
@kenzolika я могу быть самым фрустрейтед в команде оттого как я умею в командную и очень бешусь	командная	object	sg	0	1sg	can.into
тихонечко осознаю что НЕ УМЕЮ В АНДЕРЭЙДЖ то есть вообще не осознаю разницу в возрасте между людьми	андерейдж	object	sg	1	1sg	can.into
я не умею в полноценки полноценки сосут хуй скетчи лучше у меня все	полноценка	object	pl	1	1sg	can.into
@sweet_cherry22 ну вообще разные вещи Я не умею в говно, ты ж знаешь	говно	object	sg	1	1sg	can.into
не умею в социоигру	социоигра	object	sg	1	1sg	can.into
разговор ушел в сторону "не умею в личную жизнь"	жизнь	object	sg	1	1sg	can.into
RT @fkatvvigstxt: блять я не умею в открывание рта и издавание звуков	открывание	action	sg	1	1sg	can.into
@pvt_Tumanov мб я не умею в облака? Найти (бесплатно) фильм Х с сабами на планшете - боль, да и платно полгода ждать. А малина just for fun?	облако	object	pl	1	1sg	can.into
ка адски жаль что я не умею в графику я бы стлько и нарисовал тттттт https://t.co/yQ1H3IvsXY	графика	object	sg	1	1sg	can.into
